variant	qualifier	member	arity	class	in_all	has_decl	has_scheme	in_first_schemed	in_canon_qual	has_lower_arm	runtime_sym	runtime_sym_exists	ref_runtime_sym_exists	in_ref_stdlib	status
CryptoChacha20Decrypt					Y	N	Y	Y	N	Y	sky_chacha20_decrypt	Y	N	N	OK
CryptoAesKeyFromPassword					Y	N	Y	Y	N	Y	crypto_aes_key_from_password	Y	N	N	OK
CryptoChachaKeyFromPassword					Y	N	Y	Y	N	Y	crypto_chacha_key_from_password	Y	N	N	OK
CryptoRandomBytes	Crypto	randomBytes	1	Pure	Y	Y	Y	Y	Y	Y	crypto_random_bytes	Y	N	N	OK
CryptoRandomToken	Crypto	randomToken	1	Pure	Y	Y	Y	Y	Y	Y	crypto_random_token	Y	N	N	OK
UuidV4	Uuid	v4	1	Pure	Y	Y	Y	Y	Y	Y	uuid_v4	Y	N	N	OK
UuidV7	Uuid	v7	1	Pure	Y	Y	Y	Y	Y	Y	uuid_v7	Y	N	N	OK
UuidParse	Uuid	parse	1	Pure	Y	Y	Y	Y	Y	Y	uuid_parse	Y	N	N	OK
JwtEncodeHs256	Jwt	encodeHs256	2	Pure	Y	Y	Y	Y	Y	Y	sky_jwt_encode_hs256	Y	N	N	OK
JwtDecodeHs256	Jwt	decodeHs256	2	Pure	Y	Y	Y	Y	Y	Y	sky_jwt_decode_hs256	Y	N	N	OK
JwtEncodeRs256	Jwt	encodeRs256	2	Pure	Y	Y	Y	Y	Y	Y	sky_jwt_encode_rs256	Y	N	N	OK
JwtDecodeRs256	Jwt	decodeRs256	2	Pure	Y	Y	Y	Y	Y	Y	sky_jwt_decode_rs256	Y	N	N	OK
JwtClaims	Jwt	claims	0	Pure	Y	Y	Y	Y	Y	Y	sky_jwt_claims	Y	N	N	OK
JwtHs256	Jwt	hs256	1	Pure	Y	Y	Y	Y	Y	Y	sky_jwt_hs256	Y	N	N	OK
JwtRs256	Jwt	rs256	1	Pure	Y	Y	Y	Y	Y	Y	sky_jwt_rs256	Y	N	N	OK
JwtSubject	Jwt	subject	2	Pure	Y	Y	Y	Y	Y	Y	sky_jwt_subject	Y	N	N	OK
JwtIssuer	Jwt	issuer	2	Pure	Y	Y	Y	Y	Y	Y	sky_jwt_issuer	Y	N	N	OK
JwtAudience	Jwt	audience	2	Pure	Y	Y	Y	Y	Y	Y	sky_jwt_audience	Y	N	N	OK
JwtExpiresAt	Jwt	expiresAt	2	Pure	Y	Y	Y	Y	Y	Y	sky_jwt_expires_at	Y	N	N	OK
JwtNotBefore	Jwt	notBefore	2	Pure	Y	Y	Y	Y	Y	Y	sky_jwt_not_before	Y	N	N	OK
JwtIssuedAt	Jwt	issuedAt	2	Pure	Y	Y	Y	Y	Y	Y	sky_jwt_issued_at	Y	N	N	OK
JwtJwtId	Jwt	jwtId	2	Pure	Y	Y	Y	Y	Y	Y	sky_jwt_jwt_id	Y	N	N	OK
JwtWithClaim	Jwt	withClaim	3	Pure	Y	Y	Y	Y	Y	Y	sky_jwt_with_claim	Y	N	N	OK
JwtEncode	Jwt	encode	2	Pure	Y	Y	Y	Y	Y	Y	sky_jwt_encode	Y	N	N	OK
JwtDecode	Jwt	decode	3	Pure	Y	Y	Y	Y	Y	Y	sky_jwt_decode	Y	N	N	OK
TaskSucceed	Task	succeed	1	Pure	Y	Y	Y	N	Y	Y	task_succeed	Y	N	N	OK
TaskFail	Task	fail	1	Pure	Y	Y	Y	N	Y	Y	task_fail	Y	N	N	OK
TaskMap	Task	map	2	Pure	Y	Y	Y	N	Y	Y	task_map	Y	N	N	OK
TaskAndThen	Task	andThen	2	Pure	Y	Y	Y	N	Y	Y	task_and_then	Y	N	N	OK
TaskMapError	Task	mapError	2	Pure	Y	Y	Y	N	Y	Y	task_map_error	Y	N	N	OK
TaskOnError	Task	onError	2	Pure	Y	Y	Y	N	Y	Y	task_on_error	Y	N	N	OK
TaskFromResult	Task	fromResult	1	Pure	Y	Y	Y	N	Y	Y	task_from_result	Y	N	N	OK
TaskAndThenResult	Task	andThenResult	2	Pure	Y	Y	Y	N	Y	Y	task_and_then_result	Y	N	N	OK
TaskSequence	Task	sequence	1	Pure	Y	Y	Y	N	Y	Y	task_sequence	Y	N	N	OK
TaskParallel	Task	parallel	1	Pure	Y	Y	Y	N	Y	Y	task_parallel	Y	N	N	OK
TaskRun	Task	run	1	Pure	Y	Y	Y	N	Y	Y	task_run	Y	N	N	OK
TaskPerform	Task	perform	1	Pure	Y	Y	Y	N	Y	Y	task_run	Y	N	N	OK
TaskLazy	Task	lazy	1	Pure	Y	Y	Y	N	Y	Y	task_lazy	Y	N	N	OK
TaskRetryWith	Task	retryWith	2	Pure	Y	Y	Y	N	Y	Y	task_retry_with	Y	N	N	OK
TaskLinearBackoff	Task	linearBackoff	2	Pure	Y	Y	Y	N	Y	Y	task_linear_backoff	N	N	N	OK
TaskExponentialBackoff					Y	N	Y	N	N	Y	task_exponential_backoff	N	N	N	OK
TaskWithJitter	Task	withJitter	1	Pure	Y	Y	Y	N	Y	Y	task_with_jitter	N	N	N	OK
TaskRetryOn	Task	retryOn	2	Pure	Y	Y	Y	N	Y	Y	task_retry_on	N	N	N	OK
TaskWithRetryOn	Task	withRetryOn	2	Pure	Y	Y	Y	N	Y	Y	task_with_retry_on	N	N	N	OK
TaskDefaultRetryPolicy					Y	N	Y	N	N	Y	task_default_retry_policy	N	N	N	OK
TaskWithMaxAttempts					Y	N	Y	N	N	Y	task_with_max_attempts	N	N	N	OK
TaskWithBaseMs	Task	withBaseMs	2	Pure	Y	Y	Y	N	Y	Y	task_with_base_ms	N	N	N	OK
TaskWithKind	Task	withKind	2	Pure	Y	Y	Y	N	Y	Y	task_with_kind	N	N	N	OK
IoReadLine	Io	readLine	1	Pure	Y	Y	Y	N	Y	Y	io_read_line	Y	N	N	OK
IoWriteStdout	Io	writeStdout	1	Pure	Y	Y	Y	N	Y	Y	io_write_stdout	Y	N	N	OK
IoWriteStderr	Io	writeStderr	1	Pure	Y	Y	Y	N	Y	Y	io_write_stderr	Y	N	N	OK
TimeNow	Time	now	1	Pure	Y	Y	Y	N	Y	Y	time_now	Y	N	N	OK
TimeSleep	Time	sleep	1	Pure	Y	Y	Y	N	Y	Y	time_sleep	Y	N	N	OK
TimeUnixMillis	Time	unixMillis	1	Pure	Y	Y	Y	N	Y	Y	time_unix_millis	Y	N	N	OK
TimeTimeString	Time	timeString	1	Pure	Y	Y	Y	N	Y	Y	time_time_string	Y	N	N	OK
TimeIsLeapYear	Time	isLeapYear	1	Pure	Y	Y	Y	N	Y	Y	time_is_leap_year	Y	N	N	OK
TimeDaysInMonth	Time	daysInMonth	2	Pure	Y	Y	Y	N	Y	Y	time_days_in_month	Y	N	N	OK
SystemArgs	System	args	1	Pure	Y	Y	Y	N	Y	Y	system_args	Y	N	N	OK
SystemGetenv	System	getenv	1	Pure	Y	Y	Y	N	Y	Y	system_getenv	Y	N	N	OK
SystemGetenvOr	System	getenvOr	2	Pure	Y	Y	Y	N	Y	Y	system_getenv_or	Y	N	N	OK
SystemGetArg	System	getArg	1	Pure	Y	Y	Y	N	Y	Y	system_get_arg	Y	N	N	OK
SystemGetenvInt	System	getenvInt	1	Pure	Y	Y	Y	N	Y	Y	system_getenv_int	Y	N	N	OK
SystemGetenvBool	System	getenvBool	1	Pure	Y	Y	Y	N	Y	Y	system_getenv_bool	Y	N	N	OK
SystemSetenv	System	setenv	2	Pure	Y	Y	Y	N	Y	Y	system_setenv	Y	N	N	OK
SystemUnsetenv	System	unsetenv	1	Pure	Y	Y	Y	N	Y	Y	system_unsetenv	Y	N	N	OK
SystemCwd	System	cwd	1	Pure	Y	Y	Y	N	Y	Y	system_cwd	Y	N	N	OK
SystemLoadEnv	System	loadEnv	1	Pure	Y	Y	Y	N	Y	Y	system_load_env	Y	N	N	OK
SystemExit	System	exit	1	Pure	Y	Y	Y	N	Y	Y	system_exit	Y	N	N	OK
RandomInt	Random	int	2	Pure	Y	Y	Y	N	Y	Y	random_int	Y	N	N	OK
RandomFloat	Random	float	2	Pure	Y	Y	Y	N	Y	Y	random_float	Y	N	N	OK
RandomChoice	Random	choice	1	Pure	Y	Y	Y	N	Y	Y	random_choice	Y	N	N	OK
FileReadFile	File	readFile	1	Pure	Y	Y	Y	N	Y	Y	file_read_file	Y	N	N	OK
FileWriteFile	File	writeFile	2	Pure	Y	Y	Y	N	Y	Y	file_write_file	Y	N	N	OK
FileExists	File	exists	1	Pure	Y	Y	Y	N	Y	Y	file_exists	Y	N	N	OK
FileRemove	File	remove	1	Pure	Y	Y	Y	N	Y	Y	file_remove	Y	N	N	OK
FileMkdirAll	File	mkdirAll	1	Pure	Y	Y	Y	N	Y	Y	file_mkdir_all	Y	N	N	OK
FileReadFileLimit	File	readFileLimit	2	Pure	Y	Y	Y	N	Y	Y	file_read_file_limit	Y	N	N	OK
FileReadFileBytes	File	readFileBytes	1	Pure	Y	Y	Y	N	Y	Y	file_read_file_bytes	Y	N	N	OK
FileAppend	File	append	2	Pure	Y	Y	Y	N	Y	Y	file_append	Y	N	N	OK
FileReadDir	File	readDir	1	Pure	Y	Y	Y	N	Y	Y	file_read_dir	Y	N	N	OK
FileIsDir	File	isDir	1	Pure	Y	Y	Y	N	Y	Y	file_is_dir	Y	N	N	OK
FileTempFile	File	tempFile	1	Pure	Y	Y	Y	N	Y	Y	file_temp_file	Y	N	N	OK
FileTempDir	File	tempDir	1	Pure	Y	Y	Y	N	Y	Y	file_temp_dir	Y	N	N	OK
FileCopy	File	copy	2	Pure	Y	Y	Y	N	Y	Y	file_copy	Y	N	N	OK
FileRename	File	rename	2	Pure	Y	Y	Y	N	Y	Y	file_rename	Y	N	N	OK
FileDelete	File	delete	1	Pure	Y	Y	Y	N	Y	Y	file_delete	Y	N	N	OK
HttpGet	Http	get	1	Pure	Y	Y	Y	N	Y	Y	http_get	Y	N	N	OK
HttpPost	Http	post	2	Pure	Y	Y	Y	N	Y	Y	http_post	Y	N	N	OK
HttpRequest	Http	request	1	Pure	Y	Y	Y	N	Y	Y	http_request	Y	N	N	OK
HttpParseQuery	Http	parseQuery	1	Pure	Y	Y	Y	N	Y	Y	http_parse_query	Y	N	N	OK
HttpDefaultRequest					Y	N	Y	N	N	Y	http_default_request	N	N	N	OK
HttpWithMethod	Http	withMethod	2	Pure	Y	Y	Y	N	Y	Y	http_with_method	N	N	N	OK
HttpWithTimeout	Http	withTimeout	2	Pure	Y	Y	Y	N	Y	Y	http_with_timeout	N	N	N	OK
HttpWithBody	Http	withBody	2	Pure	Y	Y	Y	N	Y	Y	http_with_body	N	N	N	OK
HttpWithHeader	Http	withHeader	3	Pure	Y	Y	Y	N	Y	Y	http_with_header	N	N	N	OK
HttpWithUrl	Http	withUrl	2	Pure	Y	Y	Y	N	Y	Y	http_with_url	N	N	N	OK
HttpWithFollowRedirects					Y	N	Y	N	N	Y	http_with_follow_redirects	N	N	N	OK
HttpWithMaxRedirects					Y	N	Y	N	N	Y	http_with_max_redirects	N	N	N	OK
DbConnect	Db	connect	1	Db	Y	Y	Y	N	Y	Y	db_connect	Y	N	N	OK
DbOpen	Db	open	2	Db	Y	Y	Y	N	Y	Y	db_open	Y	N	N	OK
DbClose	Db	close	1	Db	Y	Y	Y	N	Y	Y	db_close	Y	N	N	OK
DbExecRaw	Db	execRaw	2	Db	Y	Y	Y	N	Y	Y	db_exec_raw	Y	N	N	OK
DbExec	Db	exec	3	Db	Y	Y	Y	N	Y	Y	db_exec_params	Y	N	N	OK
DbQuery	Db	query	3	Db	Y	Y	Y	N	Y	Y	db_query_params	Y	N	N	OK
DbQueryDecode	Db	queryDecode	4	Db	Y	Y	Y	N	Y	Y	db_query_decode_params	Y	N	N	OK
DbGetString	Db	getString	2	Db	Y	Y	Y	N	Y	Y	db_get_string	Y	N	N	OK
DbGetInt	Db	getInt	2	Db	Y	Y	Y	N	Y	Y	db_get_int	Y	N	N	OK
DbGetBool	Db	getBool	2	Db	Y	Y	Y	N	Y	Y	db_get_bool	Y	N	N	OK
DbGetField	Db	getField	2	Db	Y	Y	Y	N	Y	Y	db_get_field	Y	N	N	OK
DbInsertRow	Db	insertRow	3	Db	Y	Y	Y	N	Y	Y	db_insert_row	Y	N	N	OK
DbGetById	Db	getById	3	Db	Y	Y	Y	N	Y	Y	db_get_by_id	Y	N	N	OK
DbUpdateById	Db	updateById	4	Db	Y	Y	Y	N	Y	Y	db_update_by_id	Y	N	N	OK
DbDeleteById	Db	deleteById	3	Db	Y	Y	Y	N	Y	Y	db_delete_by_id	Y	N	N	OK
DbFindOneByField	Db	findOneByField	4	Db	Y	Y	Y	N	Y	Y	db_find_one_by_field	Y	N	N	OK
DbFindManyByField	Db	findManyByField	4	Db	Y	Y	Y	N	Y	Y	db_find_many_by_field	Y	N	N	OK
DbFindByConditions	Db	findByConditions	3	Db	Y	Y	Y	N	Y	Y	db_find_by_conditions	Y	N	N	OK
DbInsertFields	Db	insertFields	3	Db	Y	Y	Y	N	Y	Y	db_insert_fields	Y	N	N	OK
DbUpdateFields	Db	updateFields	4	Db	Y	Y	Y	N	Y	Y	db_update_fields	Y	N	N	OK
DbInsertFieldsReturning					Y	N	Y	N	N	Y	db_insert_fields_returning	Y	N	N	OK
DbWithTransaction	Db	withTransaction	2	Db	Y	Y	Y	N	Y	Y	db_with_transaction	Y	N	N	OK
DbMigrate	Db	migrate	2	Db	Y	Y	Y	N	Y	Y	db_migrate_apply	Y	N	N	OK
DbDecString	Db.Decode	string	1	Db	Y	Y	Y	N	Y	Y	db_decode_string	Y	N	N	OK
DbDecInt	Db.Decode	int	1	Db	Y	Y	Y	N	Y	Y	db_decode_int	Y	N	N	OK
DbDecFloat	Db.Decode	float	1	Db	Y	Y	Y	N	Y	Y	db_decode_float	Y	N	N	OK
DbDecBool	Db.Decode	bool	1	Db	Y	Y	Y	N	Y	Y	db_decode_bool	Y	N	N	OK
DbDecNullable	Db.Decode	nullable	1	Db	Y	Y	Y	N	Y	Y	db_decode_nullable	Y	N	N	OK
DbDecMap	Db.Decode	map	2	Db	Y	Y	Y	N	Y	Y	decode_map	Y	N	N	OK
DbDecAndThen	Db.Decode	andThen	2	Db	Y	Y	Y	N	Y	Y	decode_and_then	Y	N	N	OK
DbDecSucceed	Db.Decode	succeed	1	Db	Y	Y	Y	N	Y	Y	decode_succeed	Y	N	N	OK
DbDecFail	Db.Decode	fail	1	Db	Y	Y	Y	N	Y	Y	decode_fail	Y	N	N	OK
DbDecMap2	Db.Decode	map2	3	Db	Y	Y	Y	N	Y	Y	decode_map2	Y	N	N	OK
DbDecMap3	Db.Decode	map3	4	Db	Y	Y	Y	N	Y	Y	decode_map3	Y	N	N	OK
DbDecMap4	Db.Decode	map4	5	Db	Y	Y	Y	N	Y	Y	decode_map4	Y	N	N	OK
DbDecRequired	Db.Decode	required	3	Db	Y	Y	Y	N	Y	Y	db_decode_required	Y	N	N	OK
DbDecOptional	Db.Decode	optional	4	Db	Y	Y	Y	N	Y	Y	db_decode_optional	Y	N	N	OK
DbDecMoney	Db.Decode	money	1	Db	Y	Y	Y	Y	Y	Y	db_decode_money	Y	N	N	OK
CmdNone	Cmd	none	0	Tea	Y	Y	Y	N	Y	Y	cmd_none	Y	N	N	OK
CmdBatch	Cmd	batch	1	Tea	Y	Y	Y	N	Y	Y	cmd_batch	Y	N	N	OK
CmdPerform	Cmd	perform	2	Tea	Y	Y	Y	N	Y	Y	cmd_perform	Y	N	N	OK
SubNone	Sub	none	0	Tea	Y	Y	Y	N	Y	Y	sub_none	Y	N	N	OK
SubBatch	Sub	batch	1	Tea	Y	Y	Y	N	Y	Y	sub_batch	Y	N	N	OK
SubEvery	Sub	every	2	Tea	Y	Y	Y	N	Y	Y	sub_every	Y	N	N	OK
TimeEvery	Time	every	2	Tea	Y	Y	Y	N	Y	Y	time_every	Y	N	N	OK
CmdPublish	Cmd	publish	2	Tea	Y	Y	Y	Y	Y	Y	cmd_publish	Y	N	N	OK
CmdPublishNoEcho	Cmd	publishNoEcho	2	Tea	Y	Y	Y	Y	Y	Y	cmd_publish_no_echo	Y	N	N	OK
SubSubscribeTopic	Sub	subscribeTopic	2	Tea	Y	Y	Y	N	Y	Y	sub_subscribe_topic	Y	N	N	OK
PubSubPublish	PubSub	publish	2	Tea	Y	Y	Y	Y	N	Y	pubsub_publish	Y	N	N	OK
PubSubPublishNoEcho					Y	N	Y	Y	N	Y	pubsub_publish_no_echo	Y	N	N	OK
ServerGet	Server	get	2	Server	Y	Y	Y	N	Y	Y	server_get	Y	N	N	OK
ServerPost	Server	post	2	Server	Y	Y	Y	N	Y	Y	server_post	Y	N	N	OK
ServerPut	Server	put	2	Server	Y	Y	Y	N	Y	Y	server_put	Y	N	N	OK
ServerDelete	Server	delete	2	Server	Y	Y	Y	N	Y	Y	server_delete	Y	N	N	OK
ServerAny	Server	any	2	Server	Y	Y	Y	N	Y	Y	server_any	Y	N	N	OK
ServerApi	Server	api	2	Server	Y	Y	Y	N	Y	Y	server_api	Y	N	N	OK
ServerStatic	Server	static	2	Server	Y	Y	Y	N	Y	Y	server_static	Y	N	N	OK
ServerListen	Server	listen	2	Server	Y	Y	Y	N	Y	Y	server_listen	Y	N	N	OK
ServerText	Server	text	1	Server	Y	Y	Y	N	Y	Y	server_text	Y	N	N	OK
ServerJson	Server	json	1	Server	Y	Y	Y	N	Y	Y	server_json	Y	N	N	OK
ServerHtml	Server	html	1	Server	Y	Y	Y	N	Y	Y	server_html	Y	N	N	OK
ServerWithStatus	Server	withStatus	2	Server	Y	Y	Y	N	Y	Y	server_with_status	Y	N	N	OK
ServerWithHeader	Server	withHeader	3	Server	Y	Y	Y	N	Y	Y	server_with_header	Y	N	N	OK
ServerRedirect	Server	redirect	1	Server	Y	Y	Y	N	Y	Y	server_redirect	Y	N	N	OK
ServerParam	Server	param	2	Server	Y	Y	Y	N	Y	Y	server_param	Y	N	N	OK
ServerQueryParam	Server	queryParam	2	Server	Y	Y	Y	N	Y	Y	server_query_param	Y	N	N	OK
ServerHeader	Server	header	2	Server	Y	Y	Y	N	Y	Y	server_header	Y	N	N	OK
ServerGetCookie	Server	getCookie	2	Server	Y	Y	Y	N	Y	Y	server_get_cookie	Y	N	N	OK
ServerBody	Server	body	1	Server	Y	Y	Y	N	Y	Y	server_body	Y	N	N	OK
ServerPath	Server	path	1	Server	Y	Y	Y	N	Y	Y	server_path	Y	N	N	OK
ServerMethod	Server	method	1	Server	Y	Y	Y	N	Y	Y	server_method	Y	N	N	OK
ServerCookieNew	Server	cookie	2	Server	Y	Y	Y	N	Y	Y	server_cookie	Y	N	N	OK
ServerWithCookie	Server	withCookie	2	Server	Y	Y	Y	N	Y	Y	server_with_cookie	Y	N	N	OK
MiddlewareWithCors					Y	N	Y	N	N	Y	middleware_with_cors	Y	N	N	OK
MiddlewareWithLogging					Y	N	Y	N	N	Y	middleware_with_logging	Y	N	N	OK
MiddlewareWithBasicAuth					Y	N	Y	N	N	Y	middleware_with_basic_auth	Y	N	N	OK
MiddlewareWithRateLimit					Y	N	Y	N	N	Y	middleware_with_rate_limit	Y	N	N	OK
MiddlewareWithCsrf					Y	N	Y	N	N	Y	middleware_with_csrf	Y	N	N	OK
RateLimitAllow	RateLimit	allow	4	Server	Y	Y	Y	N	Y	Y	rate_limit_allow	Y	N	N	OK
UiLayout	Ui	layout	2	Ui	Y	Y	Y	N	Y	Y	ui_layout	Y	N	N	OK
UiLayoutWith	Ui	layoutWith	2	Ui	Y	Y	Y	N	Y	Y	ui_layout_with	N	N	N	OK
HtmlRender	Html	render	1	Ui	Y	Y	Y	Y	Y	Y	html_render_	Y	N	N	OK
HtmlEscapeText	Html	escapeHtml	1	Ui	Y	Y	Y	Y	Y	Y	html_escape_text_	Y	N	N	OK
HtmlEscapeAttr	Html	escapeAttr	1	Ui	Y	Y	Y	Y	Y	Y	html_escape_attr_	Y	N	N	OK
HtmlAttrToString	Html	attrToString	1	Ui	Y	Y	Y	Y	Y	Y	html_attr_to_string_	Y	N	N	OK
UiNone	Ui	none	0	Ui	Y	Y	Y	Y	Y	Y	ui_none_	Y	N	N	OK
UiText	Ui	text	1	Ui	Y	Y	Y	Y	Y	Y	ui_text_	Y	N	N	OK
UiHtml	Ui	html	1	Ui	Y	Y	Y	Y	Y	Y	ui_html_	Y	N	N	OK
UiEl	Ui	el	2	Ui	Y	Y	Y	N	Y	Y	ui_el_	Y	N	N	OK
UiRow	Ui	row	2	Ui	Y	Y	Y	N	Y	Y	ui_row_	Y	N	N	OK
UiColumn	Ui	column	2	Ui	Y	Y	Y	N	Y	Y	ui_column_	Y	N	N	OK
UiWrappedRow	Ui	wrappedRow	2	Ui	Y	Y	Y	N	Y	Y	ui_wrapped_row_	Y	N	N	OK
UiGrid	Ui	grid	2	Ui	Y	Y	Y	N	Y	Y	ui_grid_	Y	N	N	OK
UiParagraph	Ui	paragraph	2	Ui	Y	Y	Y	N	Y	Y	ui_paragraph_	Y	N	N	OK
UiTextColumn	Ui	textColumn	2	Ui	Y	Y	Y	N	Y	Y	ui_text_column_	Y	N	N	OK
UiButton	Ui	button	2	Ui	Y	Y	Y	N	Y	Y	ui_button_	Y	N	N	OK
UiLink	Ui	link	2	Ui	Y	Y	Y	Y	Y	Y	ui_link_	Y	N	N	OK
UiForm	Ui	form	2	Ui	Y	Y	Y	N	Y	Y	ui_form_	Y	N	N	OK
UiImage	Ui	image	2	Ui	Y	Y	Y	Y	Y	Y	ui_image_	Y	N	N	OK
UiAbove	Ui	above	1	Ui	Y	Y	Y	N	Y	Y	ui_above_	Y	N	N	OK
UiBelow	Ui	below	1	Ui	Y	Y	Y	N	Y	Y	ui_below_	Y	N	N	OK
UiOnLeft	Ui	onLeft	1	Ui	Y	Y	Y	N	Y	Y	ui_on_left_	Y	N	N	OK
UiOnRight	Ui	onRight	1	Ui	Y	Y	Y	N	Y	Y	ui_on_right_	Y	N	N	OK
UiInFront	Ui	inFront	1	Ui	Y	Y	Y	N	Y	Y	ui_in_front_	Y	N	N	OK
UiBehind	Ui	behind	1	Ui	Y	Y	Y	N	Y	Y	ui_behind_	Y	N	N	OK
UiSpacing	Ui	spacing	1	Ui	Y	Y	Y	Y	Y	Y	ui_spacing_	Y	N	N	OK
UiPadding	Ui	padding	1	Ui	Y	Y	Y	Y	Y	Y	ui_padding_	Y	N	N	OK
UiPaddingXY	Ui	paddingXY	2	Ui	Y	Y	Y	Y	Y	Y	ui_padding_xy_	Y	N	N	OK
UiPaddingEach	Ui	paddingEach	1	Ui	Y	Y	Y	Y	Y	Y	ui_padding_each_	Y	N	N	OK
UiWidth	Ui	width	1	Ui	Y	Y	Y	Y	Y	Y	ui_width_	Y	N	N	OK
UiHeight	Ui	height	1	Ui	Y	Y	Y	Y	Y	Y	ui_height_	Y	N	N	OK
UiCenterX	Ui	centerX	0	Ui	Y	Y	Y	Y	Y	Y	ui_center_x_	Y	N	N	OK
UiCenterY	Ui	centerY	0	Ui	Y	Y	Y	Y	Y	Y	ui_center_y_	Y	N	N	OK
UiAlignLeft	Ui	alignLeft	0	Ui	Y	Y	Y	Y	Y	Y	ui_align_left_	Y	N	N	OK
UiAlignRight	Ui	alignRight	0	Ui	Y	Y	Y	Y	Y	Y	ui_align_right_	Y	N	N	OK
UiAlignTop	Ui	alignTop	0	Ui	Y	Y	Y	Y	Y	Y	ui_align_top_	Y	N	N	OK
UiAlignBottom	Ui	alignBottom	0	Ui	Y	Y	Y	Y	Y	Y	ui_align_bottom_	Y	N	N	OK
UiPointer	Ui	pointer	0	Ui	Y	Y	Y	Y	Y	Y	ui_pointer_	Y	N	N	OK
UiClip	Ui	clip	0	Ui	Y	Y	Y	Y	Y	Y	ui_clip_	Y	N	N	OK
UiClipX	Ui	clipX	0	Ui	Y	Y	Y	Y	Y	Y	ui_clip_x_	Y	N	N	OK
UiClipY	Ui	clipY	0	Ui	Y	Y	Y	Y	Y	Y	ui_clip_y_	Y	N	N	OK
UiScrollbars	Ui	scrollbars	0	Ui	Y	Y	Y	Y	Y	Y	ui_scrollbars_	Y	N	N	OK
UiScrollbarX	Ui	scrollbarX	0	Ui	Y	Y	Y	Y	Y	Y	ui_scrollbar_x_	Y	N	N	OK
UiScrollbarY	Ui	scrollbarY	0	Ui	Y	Y	Y	Y	Y	Y	ui_scrollbar_y_	Y	N	N	OK
UiGridColumns	Ui	gridColumns	1	Ui	Y	Y	Y	Y	Y	Y	ui_grid_columns_	Y	N	N	OK
UiPx	Ui	px	1	Ui	Y	Y	Y	Y	Y	Y	ui_px_	Y	N	N	OK
UiFill	Ui	fill	0	Ui	Y	Y	Y	Y	Y	Y	ui_fill_	Y	N	N	OK
UiContent	Ui	content	0	Ui	Y	Y	Y	Y	Y	Y	ui_content_	Y	N	N	OK
UiShrink	Ui	shrink	0	Ui	Y	Y	Y	Y	Y	Y	ui_shrink_	Y	N	N	OK
UiFillPortion	Ui	fillPortion	1	Ui	Y	Y	Y	Y	Y	Y	ui_fill_portion_	Y	N	N	OK
UiVh	Ui	vh	1	Ui	Y	Y	Y	Y	Y	Y	ui_vh_	Y	N	N	OK
UiVw	Ui	vw	1	Ui	Y	Y	Y	Y	Y	Y	ui_vw_	Y	N	N	OK
UiMinimum	Ui	minimum	2	Ui	Y	Y	Y	Y	Y	Y	ui_minimum_	Y	N	N	OK
UiMaximum	Ui	maximum	2	Ui	Y	Y	Y	Y	Y	Y	ui_maximum_	Y	N	N	OK
UiRgb	Ui	rgb	3	Ui	Y	Y	Y	Y	Y	Y	ui_rgb_	Y	N	N	OK
UiRgba	Ui	rgba	4	Ui	Y	Y	Y	Y	Y	Y	ui_rgba_	Y	N	N	OK
UiWhite	Ui	white	0	Ui	Y	Y	Y	Y	Y	Y	ui_white_	Y	N	N	OK
UiBlack	Ui	black	0	Ui	Y	Y	Y	Y	Y	Y	ui_black_	Y	N	N	OK
UiTransparent	Ui	transparent	0	Ui	Y	Y	Y	Y	Y	Y	ui_transparent_	Y	N	N	OK
UiColorCss	Ui	colorCss	1	Ui	Y	Y	Y	Y	Y	Y	ui_color_css_	Y	N	N	OK
BackgroundColor	Background	color	1	Ui	Y	Y	Y	Y	Y	Y	ui_background_color_	Y	N	N	OK
BackgroundImage	Background	image	1	Ui	Y	Y	Y	Y	Y	Y	ui_background_image_	Y	N	N	OK
BackgroundLinearGradient					Y	N	Y	Y	N	Y	ui_background_linear_gradient_	Y	N	N	OK
BorderWidth	Border	width	1	Ui	Y	Y	Y	Y	Y	Y	ui_border_width_	Y	N	N	OK
BorderRounded	Border	rounded	1	Ui	Y	Y	Y	Y	Y	Y	ui_border_rounded_	Y	N	N	OK
BorderColor	Border	color	1	Ui	Y	Y	Y	Y	Y	Y	ui_border_color_	Y	N	N	OK
BorderWidthEach	Border	widthEach	1	Ui	Y	Y	Y	Y	Y	Y	ui_border_width_each_	Y	N	N	OK
BorderShadow	Border	shadow	1	Ui	Y	Y	Y	Y	Y	Y	ui_border_shadow_	Y	N	N	OK
BorderGlow	Border	glow	2	Ui	Y	Y	Y	Y	Y	Y	ui_border_glow_	Y	N	N	OK
BorderInnerShadow					Y	N	Y	Y	N	Y	ui_border_inner_shadow_	Y	N	N	OK
FontSize	Font	size	1	Ui	Y	Y	Y	Y	Y	Y	ui_font_size_	Y	N	N	OK
FontColor	Font	color	1	Ui	Y	Y	Y	Y	Y	Y	ui_font_color_	Y	N	N	OK
FontFamily	Font	family	1	Ui	Y	Y	Y	Y	Y	Y	ui_font_family_	Y	N	N	OK
FontBold	Font	bold	0	Ui	Y	Y	Y	Y	Y	Y	ui_font_bold_	Y	N	N	OK
FontItalic	Font	italic	0	Ui	Y	Y	Y	Y	Y	Y	ui_font_italic_	Y	N	N	OK
