variant	qualifier	member	arity	class	in_all	has_decl	has_scheme	in_first_schemed	in_canon_qual	has_lower_arm	runtime_sym	runtime_sym_exists	ref_runtime_sym_exists	in_ref_stdlib	status
ListFoldr	List	foldr	3	Pure	Y	Y	Y	N	Y	Y	list_foldr	Y	N	N	OK
ListLength	List	length	1	Pure	Y	Y	Y	N	Y	Y	list_length	Y	N	N	OK
ListHead	List	head	1	Pure	Y	Y	Y	N	Y	Y	list_head	Y	N	N	OK
ListTail	List	tail	1	Pure	Y	Y	Y	N	Y	Y	list_tail	Y	N	N	OK
ListMember	List	member	2	Pure	Y	Y	Y	N	Y	Y	list_member	Y	N	N	OK
ListRange	List	range	2	Pure	Y	Y	Y	N	Y	Y	list_range	Y	N	N	OK
ListReverse	List	reverse	1	Pure	Y	Y	Y	N	Y	Y	list_reverse	Y	N	N	OK
ListAppend	List	append	2	Pure	Y	Y	Y	Y	Y	Y	list_append	Y	N	N	OK
ListConcat	List	concat	1	Pure	Y	Y	Y	Y	Y	Y	list_concat	Y	N	N	OK
ListTake	List	take	2	Pure	Y	Y	Y	Y	Y	Y	list_take	Y	N	N	OK
ListDrop	List	drop	2	Pure	Y	Y	Y	Y	Y	Y	list_drop	Y	N	N	OK
ListZip	List	zip	2	Pure	Y	Y	Y	Y	Y	Y	list_zip	Y	N	N	OK
ListCons	List	cons	2	Pure	Y	Y	Y	Y	Y	Y	sky_list_cons	Y	N	N	OK
ListIsEmpty	List	isEmpty	1	Pure	Y	Y	Y	Y	Y	Y	list_is_empty	Y	N	N	OK
ListConcatMap	List	concatMap	2	Pure	Y	Y	Y	Y	Y	Y	list_concat_map	Y	N	N	OK
ListIndexedMap	List	indexedMap	2	Pure	Y	Y	Y	Y	Y	Y	list_indexed_map	Y	N	N	OK
ListAny	List	any	2	Pure	Y	Y	Y	Y	Y	Y	list_any	Y	N	N	OK
ListAll	List	all	2	Pure	Y	Y	Y	Y	Y	Y	list_all	Y	N	N	OK
ListFind	List	find	2	Pure	Y	Y	Y	Y	Y	Y	list_find	Y	N	N	OK
ListFilterMap	List	filterMap	2	Pure	Y	Y	Y	Y	Y	Y	list_filter_map	Y	N	N	OK
ListSortBy	List	sortBy	2	Pure	Y	Y	Y	Y	Y	Y	list_sort_by	Y	N	N	OK
BasicsNot	Basics	not	1	Pure	Y	Y	Y	Y	Y	Y	basics_not	Y	N	N	OK
BasicsIdentity	Basics	identity	1	Pure	Y	Y	Y	Y	Y	Y	basics_identity	Y	N	N	OK
BasicsAlways	Basics	always	2	Pure	Y	Y	Y	Y	Y	Y	basics_always	Y	N	N	OK
BasicsFst	Basics	fst	1	Pure	Y	Y	Y	Y	Y	Y	basics_fst	Y	N	N	OK
BasicsSnd	Basics	snd	1	Pure	Y	Y	Y	Y	Y	Y	basics_snd	Y	N	N	OK
BasicsModBy	Basics	modBy	2	Pure	Y	Y	Y	Y	Y	Y	basics_mod_by	Y	N	N	OK
BasicsToString	Basics	toString	1	Pure	Y	Y	Y	Y	Y	Y	basics_to_string	Y	N	N	OK
BasicsClamp	Basics	clamp	3	Pure	Y	Y	Y	Y	Y	Y	basics_clamp	Y	N	N	OK
BasicsNegate	Basics	negate	1	Pure	Y	Y	Y	Y	Y	Y	basics_negate	Y	N	N	OK
BasicsAbs	Basics	abs	1	Pure	Y	Y	Y	Y	Y	Y	basics_abs	Y	N	N	OK
BasicsSqrt	Basics	sqrt	1	Pure	Y	Y	Y	Y	Y	Y	math_sqrt	Y	N	N	OK
BasicsMin	Basics	min	2	Pure	Y	Y	Y	Y	Y	Y	math_min	Y	N	N	OK
BasicsMax	Basics	max	2	Pure	Y	Y	Y	Y	Y	Y	math_max	Y	N	N	OK
BasicsCompare	Basics	compare	2	Pure	Y	Y	Y	Y	Y	Y	basics_compare	Y	N	N	OK
